text,offensiveness
sex,0.8819712465677648
conflict,0.8819712465677648
persoanelor,0.8819712465677648
sex,0.8819712465677648
toleranta,0.8819712465677648
accept,0.8819712465677648
diferente,0.8819712465677648
ku,0.8819712465677648
dimensiuni,0.8819712465677648
conform,0.8819712465677648
inferior,0.8819712465677648
presupune,0.8819712465677648
reflecta,0.8819712465677648
caracteristicile,0.8819712465677648
concept,0.8819712465677648
capacitatea,0.8819712465677648
caracteristici,0.8819712465677648
superioare,0.8819712465677648
altora,0.8819712465677648
tendinta,0.8819712465677648
considerand,0.8819712465677648
caracteristicile,0.8819712465677648
proprie,0.8819712465677648
caracteristicile,0.8819712465677648
functia,0.8819712465677648
mecanism,0.8819712465677648
floare,0.8819712465677648
semene,0.8819712465677648
naste,0.8819712465677648
caracteristicile,0.8819712465677648
caracteristicile,0.8819712465677648
altor,0.8819712465677648
arab,0.8819712465677648
natural,0.8819712465677648
straturi,0.8819712465677648
categoric,0.8819712465677648
problemei,0.8819712465677648
problemei,0.8819712465677648
datelor,0.8819712465677648
caracteristicile,0.8819712465677648
vizibile,0.8819712465677648
marci,0.8819712465677648
particular,0.8819712465677648
istoricul,0.8819712465677648
termeni,0.8819712465677648
raport,0.8819712465677648
alimentare,0.8819712465677648
porc,0.8819712465677648
mecanism,0.8819712465677648
start,0.8819712465677648
dispozitie,0.8819712465677648
justifica,0.8819712465677648
vizibile,0.8819712465677648
strang,0.8819712465677648
femeile,0.8819712465677648
expresie,0.8819712465677648
locala,0.8819712465677648
secolul,0.8819712465677648
curent,0.8819712465677648
curent,0.8819712465677648
rigid,0.8819712465677648
considerare,0.8819712465677648
caracteristicile,0.8819712465677648
sprijin,0.8819712465677648
presupune,0.8819712465677648
diferente,0.8819712465677648
diferente,0.8819712465677648
studii,0.8819712465677648
diferente,0.8819712465677648
calitative,0.8819712465677648
proprii,0.8819712465677648
descarce,0.8819712465677648
studii,0.8819712465677648
diferente,0.8819712465677648
justifica,0.8819712465677648
iq,0.8819712465677648
iq,0.8819712465677648
relevanta,0.8819712465677648
justifica,0.8819712465677648
taramul,0.8819712465677648
relevanta,0.8819712465677648
utilitatea,0.8819712465677648
utilizarea,0.8819712465677648
diferente,0.8819712465677648
